Bibtex Key,Aesthetic Tag,Approach,Evaluation Criterion,Graph Type,Paper TItle,Participants,Statistical Evaluation,Statistically Significant,Task,Task Group,Task Type,|E|,|G|,|N|
purchase_validating_1996,Edge Bends,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,18-28,2,16
didimo_visualization_2018,,,,,A Visualization Framework and User Studies for Overloaded Orthogonal Drawings,,No,No,,,,,,
kypridemou_effect_2022,Edge Crossings,Quantitative,Error Rate,Node-Link,The Effect of Graph Layout on the Perception of Graph Density: An Empirical Study,16,Yes,Yes,Is the presented graph dense?,Overview,Overview,16-20,2,16
huang_graph_2009,Edge Flow,Quantitative,Error Rate,Node-Link,A graph reading behavior: Geodesic-path tendency,33,Yes,Yes,"In our experiments, the task of finding a shortest path between
two nodes is adopted.",Topology,Find Shortest Path,,,
wallner_influence_2020,Edge Crossings,Quantitative,Error Rate,Node-Link,"Influence of Shape, Density, and Edge Crossings on the Perception of Graph Differences",40,No,No,Are two graphs the same or not?,Overview,Overview,,16,40-100
huang_evaluating_2016,"Angular Resolution, Crossing Resolution, Edge Crossings, Edge Length",Quantitative,Error Rate,Node-Link,Evaluating Overall Quality of Dynamic Network Visualizations,,Yes,Yes,Path Finding Task,Topology,Find Shortest Path,,,15-50
storrle_impact_2014,Number of Visual Elements,Quantitative,Task Accuracy,Node-Link,On the Impact of Layout Quality to Understanding UML Diagrams: Size Matters,78,Yes,Yes,,,,,,
huang_establishing_2013,Edge Crossings,Quantitative,Error Rate,Node-Link,Establishing aesthetics based on human graph reading behavior: two eye tracking studies,13,Yes,Yes,What is the separation level between the two highlighted families?,Topology,Find Shortest Path,13-15,3,9-22
purchase_extremes_2008,Layout Stability,Quantitative,Task Time,Node-Link,Extremes Are Better: Investigating Mental Map Preservation in Dynamic Graphs,30,Yes,Yes,"Which student was called the least (overall) during the 6 week term? This is the node with the lowest overall degree over all timeslices, excluding those students who were not called at all.",Topology,Adjacency,30,3,20
purchase_empirical_2002,Edge Bends,Quantitative,Error Rate,Node-Link,Empirical Evaluation of Aesthetics-based Graph Layout,,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,,,
ware_cognitive_2002,Crossing Resolution,Quantitative,Task Time,Node-Link,Cognitive Measurements of Graph Aesthetics,43,Yes,No,Find the shortest path between the two highlighted nodes.,Topology,Find Shortest Path,,,
dwyer_edge_2013,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Edge Compression Techniques for Visualization of Dense Directed Graphs,14,Yes,Yes,Participants had to count the smallest number of links to go from a node labeled “Start” to a node labeled “End”. Path length varied up to 4 links. In some cases no path existed,Topology,Find Shortest Path,,3,
binucci_partial_2016,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Partial edge drawing: Homogeneity is more important than crossings and ink,34,Yes,Yes,Are the green vertex and the red vertex connected by an edge?,Topology,Accessibility,,,
archambault_mental_2012,Layout Stability,Quantitative,Task Time,Node-Link,The mental map and memorability in dynamic graphs,25,Yes,No,Is this graph exactly the same as one of the graphs presented in the memorization phase?,Overview,Overview,,3,
xu_user_2012,Edge Bends,Quantitative,Task Time,Node-Link,A User Study on Curved Edges in Graph Visualization,,Yes,No,Path of length two (PATH): to decide if there is a path of length two connecting the two randomly selected nodes (same as the first experiment).,Topology,Find Shortest Path,,10,20-100
sathiyanarayanan_social_2017,Edge Crossings,Quantitative,Error Rate,Node-Link,Social network visualization: Does partial edges affect user comprehension?,20,Yes,No,How many people interested in COMPUTERS are directly connected to someone who is not interested in COMPUTERS?,Topology,Common Connection,,,
huang_effects_2016,Edge Bends,Quantitative,Task Time,Node-Link,Effects of curves on graph perception,26,Yes,No,ShortestPath: what is the length of the shortest path between two highlighted nodes?,Topology,Find Shortest Path,,4,20-50
huang_improving_2010,"Angular Resolution, Crossing Resolution, Edge Crossings, Edge Length",Quantitative,Task Accuracy,Node-Link,Improving Force-Directed Graph Drawings by Making Compromises Between Aesthetics,43,Yes,No,,Topology,Find Shortest Path,,,
huang_using_2007,Crossing Resolution,Quantitative,Error Rate,Node-Link,Using eye tracking to investigate graph layout effects,16,No,No,Path task: find the shortest path between nodes 1 and 2. Nodes 1 and 2 were highlighted.,Topology,Find Shortest Path,32-43,2,20-32
huang_effects_2008,Crossing Resolution,Quantitative,Task Time,Node-Link,Effects of Crossing Angles,22,Yes,Yes,,Topology,Find Shortest Path,,16,
purchase_experimental_1997,Edge Bends,Quantitative,Error Rate,Node-Link,An experimental study of the basis for graph drawing algorithms,49,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,21-32,2,20
huang_exploring_2010,Edge Crossings,Quantitative,Task Time,Node-Link,Exploring the relative importance of crossing number and crossing angle,32,Yes,Yes,,Topology,Find Shortest Path,,200,10-50
kobourov_are_2014,Edge Crossings,Quantitative,Task Time,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,How many edges are in the shortest path between two given nodes?,Topology,Find Shortest Path,,2,40-120
kobourov_are_2014,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,What is the node with the highest degree?,Topology,Adjacency,,2,40-120
